bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,10.5003,26028,332.4471,7.3682,-3.4083,6.5325,12.1997,0.4834,0,1.4941,0,32,10.5003,0
100,150,10.7916,41715,348.2026,7.7095,-1.5762,7.5466,12.2986,0.4834,0,1.4941,0,32,10.7916,0
200,250,2.5151,41187,327.2198,8.8260,-4.7786,7.4205,12.9120,0.4834,0,1.4941,0,32,2.5156,5.496032e-03
300,350,2.4460,38915,313.3636,6.6681,-4.8478,4.5785,8.8689,0.4834,0,1.4941,0,32,2.4487,1.444859e-02
400,450,3.5655,36650,283.6116,5.3730,-5.2220,1.2645,7.9522,0.4834,0,1.4941,0,32,3.5697,1.220085e-02
500,550,0.7089,31691,287.1837,5.4545,-5.2110,1.6115,8.4601,0.4834,0,1.4941,0,32,0.7208,3.033234e-02
600,650,0.7668,22772,301.7216,5.4938,-4.6731,2.8886,9.4695,0.4834,0,1.4941,0,32,0.7672,4.044118e-03
700,750,0.3348,22501,333.0122,6.0365,-2.7394,5.3791,13.0754,0.4834,0,1.4941,0,32,0.3381,1.919935e-03
800,850,0.7917,21619,335.8816,6.6374,-2.7122,6.0580,12.4895,0.4834,0,1.4941,0,32,0.7936,4.461279e-03
900,950,0.1545,21542,345.4976,6.4811,-1.6230,6.2746,12.0976,0.4834,0,1.4941,0,32,0.1545,5.050505e-04
1000,1050,0.0940,21508,347.6141,6.4327,-1.3798,6.2830,13.8153,0.4834,0,1.4941,0,32,0.0940,0
1100,1150,0.4303,21475,347.2399,6.8403,-1.5108,6.6714,14.1255,0.4834,0,1.4941,0,32,0.4303,0
1200,1250,0.1301,21565,345.4829,6.8652,-1.7209,6.6460,13.4421,0.4834,0,1.4941,0,32,0.1301,0
1300,1350,0.1987,20721,345.7708,7.2773,-1.7888,7.0540,14.7788,0.4834,0,1.4941,0,32,0.1987,0
1400,1450,0.1356,17439,345.7726,7.1895,-1.7670,6.9690,16.6952,0.4834,0,1.4941,0,32,0.1356,0
1500,1550,0.0959,14024,345.6444,6.9369,-1.7199,6.7203,17.1002,0.4834,0,1.4941,0,32,0.0959,0
1600,1650,0.1245,13399,349.1809,7.1959,-1.3507,7.0680,16.1487,0.4834,0,1.4941,0,32,0.1245,0
1700,1750,0.0899,14118,353.7706,6.9747,-0.7568,6.9336,12.9951,0.4834,0,1.4941,0,32,0.0899,0
1800,1850,0.1547,13370,356.7551,6.6349,-0.3756,6.6243,17.1913,0.4834,0,1.4941,0,32,0.1547,0
1900,1950,0.0858,13413,358.0921,6.7484,-0.2247,6.7447,12.4202,0.4834,0,1.4941,0,32,0.0858,0
2000,2050,0.1499,13427,2.1466,6.5784,0.2464,6.5738,14.6170,0.4834,0,1.4941,0,32,0.1499,0
2100,2150,0.1176,13381,2.1993,6.3299,0.2429,6.3252,15.7001,0.4834,0,1.4941,0,32,0.1176,0
2200,2250,0.1604,13349,359.9264,6.1202,-0.0079,6.1202,14.7097,0.4834,0,1.4941,0,32,0.1604,0
2300,2350,0.1121,9949,357.3526,5.6947,-0.2630,5.6886,17.5072,0.4834,0,1.4941,0,32,0.1121,0
2400,2450,0.0926,7825,356.3332,5.2457,-0.3355,5.2349,17.4528,0.4834,0,1.4941,0,32,0.0926,0
2500,2550,0.1069,7838,354.7722,4.8355,-0.4406,4.8154,13.2891,0.4834,0,1.4941,0,32,0.1069,0
2600,2650,0.1401,7785,358.6757,5.1878,-0.1199,5.1864,11.5619,0.4834,0,1.4941,0,32,0.1401,0
2700,2750,0.1234,7849,359.4268,4.9624,-0.0496,4.9622,20.3642,0.4834,0,1.4941,0,32,0.1234,0
2800,2850,0.1060,7867,359.4061,4.6968,-0.0487,4.6965,11.4414,0.4834,0,1.4941,0,32,0.1060,0
2900,2950,0.1704,7149,358.6414,4.6700,-0.1107,4.6687,15.3337,0.4834,0,1.4941,0,32,0.1704,0
