bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,27.3351,26575,74.1856,3.1956,3.0746,0.8709,2.0091,0.4834,0,1.4502,0,21,1083.9917,8.295988e-01
100,150,11.7327,45206,56.1795,3.2008,2.6592,1.7815,1.4878,0.4834,0,1.4502,0,21,1319.2271,9.276826e-01
200,250,3.6961,40787,45.3540,3.0832,2.1935,2.1666,1.2036,0.4834,0,1.4502,0,21,1664.7568,9.587698e-01
300,350,7.8861,37262,41.6252,2.8557,1.8969,2.1346,1.5528,0.4834,0,1.4502,0,21,1986.1193,9.643178e-01
400,450,4.0104,32985,43.1086,2.7089,1.8512,1.9777,1.5793,0.4834,0,1.4502,0,21,2095.7103,9.735282e-01
500,550,0.6305,25939,49.5194,2.5122,1.9108,1.6309,1.3720,0.4834,0,1.4502,0,21,2102.2623,9.755051e-01
600,650,3.4336,17719,73.9497,2.1094,2.0272,0.5832,1.1470,0.4834,0,1.4502,0,21,1580.4416,9.617460e-01
700,750,1.2364,17286,66.7605,2.1196,1.9476,0.8363,1.0842,0.4834,0,1.4502,0,21,1486.9608,9.624603e-01
800,850,1.3228,17107,55.8160,2.0745,1.7161,1.1655,1.1213,0.4834,0,1.4502,0,21,1346.7835,9.536905e-01
900,950,0.9697,15965,40.4575,2.0865,1.3539,1.5876,1.1194,0.4834,0,1.4502,0,21,1314.6423,9.694841e-01
1000,1050,0.4431,14438,30.1232,2.1388,1.0734,1.8499,1.1476,0.4834,0,1.4502,0,21,1377.3297,9.668350e-01
1100,1150,0.3366,14605,17.1694,2.1483,0.6342,2.0526,1.2047,0.4834,0,1.4502,0,21,1524.5953,9.920752e-01
1200,1250,0.7632,14502,4.5046,2.2464,0.1764,2.2394,1.2599,0.4834,0,1.4502,0,21,1599.7238,9.900174e-01
1300,1350,0.1499,17302,351.8714,2.3031,-0.3256,2.2799,1.3891,0.4834,0,1.4502,0,21,1561.5053,9.807937e-01
1400,1450,0.1121,11867,349.8370,2.6587,-0.4691,2.6170,1.3096,0.4834,0,1.4502,0,21,1320.9666,9.835859e-01
1500,1550,0.0884,11367,341.2824,2.6769,-0.8590,2.5354,1.2285,0.4834,0,1.4502,0,21,1187.9644,9.906944e-01
1600,1650,0.1130,11610,331.6879,2.5940,-1.2303,2.2837,1.4528,0.4834,0,1.4502,0,21,1169.8691,9.893750e-01
1700,1750,0.0187,11548,323.1435,2.7011,-1.6202,2.1613,1.6722,0.4834,0,1.4502,0,21,1225.0877,9.950694e-01
1800,1850,0.0104,11692,315.2203,2.8075,-1.9776,1.9928,1.9549,0.4834,0,1.4502,0,21,1722.1348,9.970139e-01
1900,1950,0.0447,11576,311.2796,2.8515,-2.1429,1.8812,2.2737,0.4834,0,1.4502,0,21,2449.1630,9.931250e-01
2000,2050,0.0526,12158,312.1550,3.0578,-2.2669,2.0522,2.5385,0.4834,0,1.4502,0,21,3488.2659,9.910714e-01
2100,2150,0.0865,10922,311.4496,3.1581,-2.3671,2.0906,2.6324,0.4834,0,1.4502,0,21,5115.4050,9.920322e-01
2200,2250,0.0581,9005,311.6040,3.4031,-2.5447,2.2596,2.6865,0.4834,0,1.4502,0,21,6063.3662,9.947917e-01
2300,2350,0.0520,6342,313.7704,3.8955,-2.8130,2.6948,2.6810,0.4834,0,1.4502,0,21,5708.9770,9.943287e-01
2400,2450,0.0332,5730,313.5157,3.9603,-2.8719,2.7269,2.7289,0.4834,0,1.4502,0,21,5657.0215,9.941919e-01
2500,2550,0.0291,5733,312.7558,4.0347,-2.9625,2.7390,2.6390,0.4834,0,1.4502,0,21,4825.0449,9.862374e-01
2600,2650,0.0788,5822,311.2225,4.0477,-3.0445,2.6674,2.4836,0.4834,0,1.4502,0,21,3441.3344,9.830808e-01
2700,2750,0.1346,6682,310.9783,3.8336,-2.8942,2.5139,2.3350,0.4834,0,1.4502,0,21,1885.3284,9.773148e-01
2800,2850,0.1425,6322,312.5982,3.7414,-2.7541,2.5324,2.2669,0.4834,0,1.4502,0,21,1200.0559,9.681818e-01
2900,2950,0.0711,6593,314.7594,3.6965,-2.6248,2.6028,2.2058,0.4834,0,1.4502,0,21,1126.6170,9.694444e-01
